Название вакансии,Название компании,Зарплата,Ссылка
Программист 1С,"ЛАМА, Группа компаний",,https://tomsk.hh.ru/vacancy/110191921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (разработка информационных систем),Головное подразделение Сибагро,"до 123 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/117416543?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО Паритет,"от 80 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118345837?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior front-end разработчик,ИП Василенко Борис Геннадьевич,"940 – 1 600 $ за месяц, на руки",https://tomsk.hh.ru/vacancy/119104080?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,НИИ радиотехнических систем ТУСУР,"100 000 – 200 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118770902?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажёр-программист PHP,Консорциум Кодекс,,https://tomsk.hh.ru/vacancy/119079689?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик чат-ботов (стажёр) Удаленно,Суши Море,"до 20 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118853233?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Дента Люкс,,https://tomsk.hh.ru/vacancy/117655671?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"Томская электронная компания , ООО НПП","50 000 – 110 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/83312825?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик,ИП Курочкин Владимир Александрович,"60 000 – 120 000 ₽ за месяц, до вычета налогов",https://tomsk.hh.ru/vacancy/118948403?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист разработчик,ТУСУР,"от 70 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118578637?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
WEB разработчик,ООО Headwise LLC,"от 40 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118457045?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++,ООО СИНЕКТА,,https://tomsk.hh.ru/vacancy/117155418?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО Научно-производственная фирма Микран,,https://tomsk.hh.ru/vacancy/118686186?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист приложений прикладного ПО,"Интегра, Группа компаний","от 80 000 ₽ за месяц, до вычета налогов",https://tomsk.hh.ru/vacancy/112658534?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист (С++) г. Омск, г. Астана",НПЦ Динамика,,https://tomsk.hh.ru/vacancy/116832143?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Стройпарк,,https://tomsk.hh.ru/vacancy/102569282?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер-программист 1С,ООО СТК,,https://tomsk.hh.ru/vacancy/119331219?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Android-разработчик,Дмитриев Никита Александрович,"25 000 – 35 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119377755?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С ERP,Группа Компаний Мечел,,https://tomsk.hh.ru/vacancy/119273389?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (УТ),ООО МАГ Девелопмент,,https://tomsk.hh.ru/vacancy/118026254?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Томский завод резиновой обуви,"70 000 – 80 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119307589?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C++ Developer,Rubius,,https://tomsk.hh.ru/vacancy/114903659?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Томский инструментальный завод,"до 200 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119255811?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C++ Developer (UI),Rubius,,https://tomsk.hh.ru/vacancy/118580562?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист станков с ЧПУ,ООО Бизнес Энерджи,"100 000 – 150 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119406712?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Веб-разработчик,ИП Балаян Р.А.,"от 100 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119305925?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик мобильных приложений под iOS и Android,ООО Первая Свободная Платформа Легальной Музыки,,https://tomsk.hh.ru/vacancy/118287701?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик,ООО ЛЭМЗ-Т,"80 000 – 200 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1C,ООО Аптека Вита,,https://tomsk.hh.ru/vacancy/119255764?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"SQL developer, BI developer ( удаленно)",Lasmart,"от 172 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118933491?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
SQL developer / BI developer,Lasmart,"от 172 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118933510?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик middle (PHP),ООО Спутник,"до 250 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119421061?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (Oracle),ООО Софт Инжиниринг,,https://tomsk.hh.ru/vacancy/117811944?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle frontend-разработчик,ООО Паравеб,"от 60 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119374920?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python-разработчик,"Армада, группа компаний",,https://tomsk.hh.ru/vacancy/118892044?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# разработчик CAD систем (middle),АО ТомскНИПИнефть,,https://tomsk.hh.ru/vacancy/117215883?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (Python) junior,ООО Спутник,,https://tomsk.hh.ru/vacancy/118503362?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер - программист станков с ЧПУ,ООО Арсенал-Нт,"от 120 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119285522?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Vue) | Vue Developer,Rubius,,https://tomsk.hh.ru/vacancy/118252107?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Frontend Developer (React/Next.js),Userstory,"от 130 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118191103?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист микроконтроллеров,"Компания ЭлеСи, Томск","от 75 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118061810?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Администратор Bitrix24 (коробка),Байт-Транзит-Континент,"от 100 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119384541?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Backend Developer (Node.js),Queen Interactive Games Ltd,,https://tomsk.hh.ru/vacancy/116435994?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик FPGA,ООО ЛЭМЗ-Т,"от 140 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/116054014?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по тестированию ПО,АО Научно-производственная фирма Микран,,https://tomsk.hh.ru/vacancy/119418682?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
DevOps-инженер (junior),ООО Спутник,"от 70 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119293472?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный аналитик (middle+/senior),ООО АльдераСофт,"180 000 – 280 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119311112?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-технолог (программист станков с ЧПУ),ООО НПП Автоматика,"от 100 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/116645729?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Аналитик-консультант 1С,Головное подразделение Сибагро,"65 000 – 98 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119415982?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
